sliding_window_size,time_in_advance(ms),weights,ROC_AUC,std_of_ROC_AUC,PR_AUC,std_of_PR_AUC,precision,std_of_precision,recall,std_of_recall,,
500,300,1:1,0.9998,0.0003,0.9998,0.0004,0.945,0.0213,0.9547,0.0751,,
500,300,1:10,0.9993,0.001,0.9992,0.0013,0.834,0.0933,0.9957,0.0043,,
500,300,1:50,0.9962,0.0067,0.9958,0.0068,0.6835,0.1652,0.9976,0.0025,,
500,500,1:1,0.9992,0.0004,0.9991,0.0005,0.7793,0.0341,0.8314,0.0691,,
500,500,1:10,0.9953,0.0077,0.9954,0.0072,0.5587,0.1154,0.9647,0.0095,,
500,500,1:50,0.9923,0.0012,0.9917,0.0013,0.3963,0.0248,0.9889,0.0043,,
500,700,1:1,0.9967,0.0003,0.9967,0.0003,0.5614,0.0335,0.1962,0.0938,,
500,700,1:10,0.9843,0.0025,0.985,0.0024,0.2831,0.0174,0.8524,0.041,,
500,700,1:50,0.9355,0.0201,0.9401,0.0187,0.1536,0.0142,0.9663,0.0161,,
500,900,1:1,0.9923,0.0004,0.9921,0.0005,0.619,0.0765,0.039,0.0184,,
500,900,1:10,0.9654,0.0046,0.9671,0.0043,0.1728,0.0087,0.6884,0.0291,,
500,900,1:50,0.7821,0.0405,0.7918,0.044,0.089,0.0071,0.9333,0.0173,,
500,1100,1:1,0.9873,0.0007,0.9866,0.0008,0.4944,0.222,0.0098,0.0101,,
500,1100,1:10,0.9651,0.0061,0.9655,0.0057,0.1737,0.0159,0.4584,0.0282,,
500,1100,1:50,0.6127,0.0325,0.6132,0.0458,0.0634,0.0019,0.9209,0.0142,,
500,1300,1:1,0.9833,0.0019,0.9812,0.0029,0,0,0,0,,
500,1300,1:10,0.9701,0.0061,0.9682,0.0057,0.1774,0.016,0.3411,0.0666,,
500,1300,1:50,0.4564,0.1311,0.4848,0.0791,0.0541,0.0062,0.8834,0.0392,,
500,1500,1:1,0.9829,,,,,,,,,
500,1500,1:10,0.964,,,,,,,,,
500,1500,1:50,0.39,,,,,,,,,
500,1700,1:1,0.9818,,,,,,,,,
500,1700,1:10,0.9663,,,,,,,,,
500,1700,1:50,0.4048,,,,,,,,,
500,1900,1:1,0.9814,,,,,,,,,
500,1900,1:10,0.9588,,,,,,,,,
500,1900,1:50,0.3598,,,,,,,,,
500,2100,1:1,0.9808,,,,,,,,,
500,2100,1:10,0.9552,,,,,,,,,
500,2100,1:50,0.2774,,,,,,,,,
1000,300,1:1,0.9998,0.0001,0.9998,0.0002,0.9659,0.0324,0.9726,0.0222,,
1000,300,1:10,0.9996,0.0003,0.9995,0.0003,0.8884,0.0817,0.9956,0.0035,,
1000,300,1:50,0.9966,0.0031,0.9958,0.0039,0.7396,0.1118,0.9977,0.003,,
1000,500,1:1,0.999,0.0002,0.9989,0.0003,0.838,0.0331,0.8634,0.0647,,
1000,500,1:10,0.996,0.0022,0.9958,0.0023,0.6253,0.0639,0.9576,0.0419,,
1000,500,1:50,0.9904,0.0022,0.9895,0.0024,0.473,0.0399,0.9937,0.0042,,
1000,700,1:1,0.9951,0.0004,0.9951,0.0004,0.608,0.0307,0.5068,0.0865,,
1000,700,1:10,0.9802,0.0027,0.9811,0.0025,0.3521,0.0185,0.9156,0.0157,,
1000,700,1:50,0.9368,0.0152,0.9412,0.0138,0.222,0.0176,0.9815,0.0081,,
1000,900,1:1,0.9887,0.0005,0.9884,0.0006,0.6406,0.0695,0.1144,0.0312,,
1000,900,1:10,0.9456,0.0133,0.9489,0.012,0.2223,0.021,0.7927,0.0457,,
