sliding_window_size,time_in_advance(ms),weights,AUC
500,500,1:1,0.914
500,500,1:10,0.9687
500,500,1:50,0.9691
500,700,1:1,0.5982
500,700,1:10,0.8687
500,700,1:50,0.901
500,900,1:1,0.5181
500,900,1:10,0.7901
500,900,1:50,0.8027
500,1100,1:1,0.5028
500,1100,1:10,0.6904
500,1100,1:50,0.7231
500,1300,1:1,0.5002
500,1300,1:10,0.6657
500,1300,1:50,0.6653
500,1500,1:1,0.5
500,1500,1:10,0.6593
500,1500,1:50,0.6441
500,1700,1:1,0.5
500,1700,1:10,0.6635
500,1700,1:50,0.6195
500,1900,1:1,0.5
500,1900,1:10,0.6522
500,1900,1:50,0.6148
1000,500,1:1,0.934
1000,500,1:10,0.9744
1000,500,1:50,0.9695
1000,700,1:1,0.7236
1000,700,1:10,0.9131
1000,700,1:50,0.8987
1000,900,1:1,0.561
1000,900,1:10,0.8291
1000,900,1:50,0.805
1000,1100,1:1,0.516
1000,1100,1:10,0.755
1000,1100,1:50,0.7129
1000,1300,1:1,0.5024
1000,1300,1:10,0.693
1000,1300,1:50,0.628
1000,1500,1:1,0.5007
1000,1500,1:10,0.7148
1000,1500,1:50,0.6299
1000,1700,1:1,0.5002
1000,1700,1:10,0.7097
1000,1700,1:50,0.6343
1000,1900,1:1,0.5013
1000,1900,1:10,0.7171
1000,1900,1:50,0.6288
1500,500,1:1,0.954
1500,500,1:10,0.9775
1500,500,1:50,0.9682
1500,700,1:1,0.8343
1500,700,1:10,0.9231
1500,700,1:50,0.9039
1500,900,1:1,0.6387
1500,900,1:10,0.8451
1500,900,1:50,0.7974
1500,1100,1:1,0.5649
1500,1100,1:10,0.7845
1500,1100,1:50,0.7167
1500,1300,1:1,0.5455
1500,1300,1:10,0.7549
1500,1300,1:50,0.6578
1500,1500,1:1,0.5307
1500,1500,1:10,0.7504
1500,1500,1:50,0.6263
1500,1700,1:1,0.5369
1500,1700,1:10,0.7549
1500,1700,1:50,0.6265
1500,1900,1:1,0.5346
1500,1900,1:10,0.7528
1500,1900,1:50,0.6318
2000,500,1:1,0.9634
2000,500,1:10,0.9798
2000,500,1:50,0.9707
2000,700,1:1,0.8719
2000,700,1:10,0.9281
2000,700,1:50,0.8978
2000,900,1:1,0.7218
2000,900,1:10,0.8551
2000,900,1:50,0.7947
2000,1100,1:1,0.6564
2000,1100,1:10,0.7924
2000,1100,1:50,0.7011
2000,1300,1:1,0.633
2000,1300,1:10,0.775
2000,1300,1:50,0.6631
2000,1500,1:1,0.643
2000,1500,1:10,0.7712
2000,1500,1:50,0.6348
2000,1700,1:1,0.636
2000,1700,1:10,0.7706
2000,1700,1:50,0.6291
2000,1900,1:1,0.6392
2000,1900,1:10,0.7631
2000,1900,1:50,0.6171
